aardvark,ˈɑɹdˌvɑɹk
lobsterman,ˈɫɑbstɝmən
local,ˈɫoʊkəɫ
localization,ˌɫoʊkəɫəˈzeɪʃən
location,ɫoʊˈkeɪʃən
locator,ˈɫoʊˌkeɪtɝ
loch,ˈɫɑk
lock,ˈɫɑk
lockdown,ˈɫɑkˌdaʊn
locker,ˈɫɑkɝ
locket,ˈɫɑkɪt
locking,ˈɫɑkɪŋ
lockout,ˈɫɑˌkaʊt
locksmith,ˈɫɑksˌmɪθ
lockstep,ˈɫɑkˌstɛp
lockup,ˈɫɑˌkəp
locomotion,ˌɫoʊkəˈmoʊʃən
locomotive,ˌɫoʊkəˈmoʊtɪv
locus,ˈɫoʊkəs
locust,ˈɫoʊkəst
lode,ˈɫoʊd
lodestar,ˈɫoʊdˌstɑɹ
lodestone,ˈɫoʊdˌstoʊn
lodge,ˈɫɑdʒ
lodging,ˈɫɑdʒɪŋ
loess,ˈɫoʊəs
loft,ˈɫɔft
log,ˈɫɔɡ
logarithm,ˈɫɑɡɝˌɪðəm
logbook,ˈɫɔɡˌbʊk
loge,ˈɫoʊdʒ
loggerhead,ˈɫɑɡɝˌhɛd
loggia,ˈɫɑɡiə
logging,ˈɫɔɡɪŋ
logic,ˈɫɑdʒɪk
logician,ɫoʊˈdʒɪʃən
logistics,ɫəˈdʒɪstɪks
logjam,ˈɫɑɡˌdʒæm
logo,ˈɫoʊɡoʊ
logogram,ˈɫɔɡəˌɡɹæm
logwood,ˈɫɑˌɡwʊd
loin,ˈɫɔɪn
lollipop,ˈɫɑɫiˌpɑp
loneliness,ˈɫoʊnɫinəs
loner,ˈɫoʊnɝ
longan,ˈɫɑŋɡən
longbow,ˈɫɔŋˌboʊ
longer,ˈɫɔŋɡɝ
longevity,ɫɔnˈdʒɛvəti
longhand,ˈɫɔŋˌhænd
longhorn,ˈɫɔŋˌhɔɹn
longing,ˈɫɔŋɪŋ
longitude,ˈɫɑndʒəˌtud
longshot,ˈɫɔŋˌʃɑt
look,ˈɫʊk
looking,ˈɫʊkɪŋ
lookout,ˈɫʊˌkaʊt
loom,ˈɫum
loon,ˈɫun
loop,ˈɫup
loophole,ˈɫupˌhoʊɫ
loosening,ˈɫusənɪŋ
loosestrife,ˈɫuˌstɹaɪf
loot,ˈɫut
looting,ˈɫutɪŋ
loquat,ˈɫoʊˌkwɑt
lordship,ˈɫɔɹdʃɪp
lore,ˈɫɔɹ
lorgnette,ɫɔɹnˈjɛt
lorry,ˈɫɔɹi
loser,ˈɫuzɝ
loss,ˈɫɔs
lot,ˈɫɑt
lotion,ˈɫoʊʃən
lottery,ˈɫɑtɝi
lotto,ˈɫɑˌtoʊ
loudspeaker,ˈɫaʊdˌspikɝ
lough,ˈɫaʊ
lounge,ˈɫaʊndʒ
loupe,ˈɫup
louse,ˈɫaʊs
lout,ˈɫaʊt
lovage,ˈɫəvədʒ
lovastatin,ɫoʊˈvæstətɪn
love,ˈɫəv
lover,ˈɫəvɝ
low,ˈɫoʊ
lowering,ˈɫoʊɝɪŋ
lowland,ˈɫoʊˌɫænd
loyalist,ˈɫɔɪəɫɪst
loyalty,ˈɫɔɪəɫti
lubricant,ˈɫubɹəkənt
lubrication,ˌɫubɹɪˈkeɪʃən
lucidity,ɫuˈsɪdɪti
luck,ˈɫək
ludo,ˈɫuˌdoʊ
luff,ˈɫəf
lug,ˈɫəɡ
luge,ˈɫudʒ
luger,ˈɫuɡɝ
lugworm,ˈɫəɡwɝm
lull,ˈɫəɫ
lullaby,ˈɫəɫəˌbaɪ
lumbago,ɫəmˈbeɪˌɡoʊ
lumber,ˈɫəmbɝ
lumbering,ˈɫəmbɝɪŋ
lumberjack,ˈɫəmbɝˌdʒæk
lumberman,ˈɫəmbɝmən
lumberyard,ˈɫəmbɝˌjɑɹd
lumen,ˈɫumən
luminary,ˈɫuməˌnɛɹi
luminescence,ˌɫuməˈnɛsəns
lumpectomy,ˌɫəmˈpɛktəmi
lumper,ˈɫəmpɝ
lunacy,ˈɫunəsi
lunatic,ˈɫunəˌtɪk
lunch,ˈɫəntʃ
lunching,ˈɫəntʃɪŋ
lunchroom,ˈɫəntʃˌɹum
lunchtime,ˈɫəntʃˌtaɪm
lung,ˈɫəŋ
lunge,ˈɫəndʒ
lunger,ˈɫəŋɝ
lungfish,ˈɫəŋˌfɪʃ
lupus,ˈɫupəs
lurch,ˈɫɝtʃ
lure,ˈɫʊɹ
lust,ˈɫəst
luster,ˈɫəstɝ
lute,ˈɫut
lux,ˈɫəks
luxury,ˈɫəɡʒɝi
lye,ˈɫaɪ
lying,ˈɫaɪɪŋ
lymph,ˈɫɪmf
lymphadenopathy,ˌɫɪmfəˈdɛnəˌpæθi
lymphoblast,ˌɫɪmfəˈbɫæst
lymphocyte,ˈɫɪmfəˌsaɪt
lymphoma,ɫɪmˈfoʊmə
lynching,ˈɫɪntʃɪŋ
lynx,ˈɫɪŋks
lyre,ˈɫaɪɹ
lyric,ˈɫɪɹɪk
lyricism,ˈɫɪɹɪˌsɪzəm
lyricist,ˈɫɪɹɪsɪst
lysine,ˈɫaɪsin
lysis,ˈɫaɪsɪs
ma,ˈmɑ
macadam,məˈkædəm
macaroni,ˌmækɝˈoʊni
macaw,məˈkɔ
mace,ˈmeɪs
machete,məˈʃɛˌti
machine,məˈʃin
machinery,məˈʃinɝi
machinist,məˈʃinəst
machismo,məˈkɪzmoʊ
macho,ˈmɑtʃoʊ
macintosh,ˈmækənˌtɔʃ
mackerel,ˈmækɝəɫ
mackinaw,ˈmækəˌnɔ
macon,ˈmeɪkən
macrame,ˈmækɹəˌmeɪ
macro,ˈmækɹoʊ
macroeconomics,ˌmækɹoʊɛkəˈnɑmɪks
macrophage,ˈmækɹoʊˌfeɪdʒ
madam,ˈmædəm
madame,ˈmædəm
madness,ˈmædnəs
madras,ˈmædɹəs
madrigal,ˈmædɹəɡəɫ
maestro,ˈmaɪstɹoʊ
mafia,ˈmɑfiə
magazine,ˈmæɡəˌzin
magdalen,ˈmæɡdəɫən
magic,ˈmædʒɪk
magician,məˈdʒɪʃən
magma,ˈmæɡmə
magnet,ˈmæɡnət
magnetism,ˈmæɡnəˌtɪzəm
magnetite,ˈmæɡnəˌtaɪt
magnetization,ˌmæɡnətəˈzeɪʃən
magnetometer,ˌmæɡnəˈtɑmətɝ
magnetron,ˈmæɡnəˌtɹɑn
magnification,ˌmæɡnəfəˈkeɪʃən
magnifier,ˈmæɡnəˌfaɪɝ
magnitude,ˈmæɡnəˌtud
magnum,ˈmæɡnəm
magpie,ˈmæɡˌpaɪ
magus,ˈmeɪɡəs
maharaja,ˌmɑhɝˈɑˌʒə
mahatma,məˈhɑtmə
maid,ˈmeɪd
mail,ˈmeɪɫ
mailbag,ˈmeɪɫˌbæɡ
mailbox,ˈmeɪɫˌbɑks
mailer,ˈmeɪɫɝ
mailing,ˈmeɪɫɪŋ
mailman,ˈmeɪɫˌmæn
main,ˈmeɪn
mainland,ˈmeɪnˌɫænd
mainstay,ˈmeɪnˌsteɪ
maintenance,ˈmeɪntənəns
majolica,məˈdʒɔɫəkə
major,ˈmeɪdʒɝ
majority,məˈdʒɔɹəti
makeover,ˈmæˌkoʊvɝ
maker,ˈmeɪkɝ
makeshift,ˈmeɪkˌʃɪft
makeup,ˈmeɪˌkəp
making,ˈmeɪkɪŋ
mako,ˈmɑkoʊ
malacca,məˈɫækə
malaise,mæˈɫeɪz
malamute,ˈmæɫəmˌjut
malaria,məˈɫɛɹiə
malcontent,ˌmæɫkənˈtɛnt
male,ˈmeɪɫ
malfeasance,ˌmæɫˈfizəns
malformation,ˌmæɫfɔɹˈmeɪʃən
malfunction,mæɫˈfəŋkʃən
malice,ˈmæɫəs
malignancy,məˈɫɪɡnənsi
malik,ˈmæɫɪk
mallard,ˈmæɫɝd
malleability,ˌmæɫiəˈbɪɫəti
mallet,ˈmæɫɪt
malnutrition,ˌmæɫnuˈtɹɪʃən
malpractice,mæɫˈpɹæktəs
malt,ˈmɔɫt
malted,ˈmɔɫtəd
maltose,ˈmɔɫtoʊs
maltreatment,mæɫˈtɹitmənt
mamba,ˈmɑmbə
mambo,ˈmɑmboʊ
mammal,ˈmæməɫ
mammogram,ˈmæmoʊˌɡɹæm
mammography,məˈmɑɡɹəfi
mammoth,ˈmæməθ
man,ˈmæn
management,ˈmænədʒmənt
manatee,ˈmænəˌti
mandala,ˈmɑdəɫə
mandamus,mænˈdeɪməs
mandarin,ˈmændɝən
mandate,ˈmænˌdeɪt
mandolin,ˈmændəˌɫɪn
mandrake,ˈmænˌdɹeɪk
mandrill,ˈmændɹɪɫ
mane,ˈmeɪn
maneuver,məˈnuvɝ
maneuverability,məˌnuvɝəˈbɪɫɪti
mange,ˈmeɪndʒ
manger,ˈmeɪndʒɝ
mangle,ˈmæŋɡəɫ
mango,ˈmæŋɡoʊ
mangosteen,ˈmæŋɡoʊˌstin
manhole,ˈmænˌhoʊɫ
manhood,ˈmænˌhʊd
manhunt,ˈmænˌhənt
mania,ˈmeɪniə
manicure,ˈmænɪkjɝ
manicurist,ˈmænɪkˌjɝɪst
manifest,ˈmænəˌfɛst
manifestation,ˌmænəfɛˈsteɪʃən
manifesto,ˌmænəˈfɛsˌtoʊ
manifold,ˈmænəˌfoʊɫd
manila,məˈnɪɫə
manipulation,məˌnɪpjəˈɫeɪʃən
manipulator,məˈnɪpjəˌɫeɪtɝ
manna,ˈmænə
mannequin,ˈmænəkɪn
manner,ˈmænɝ
manners,ˈmænɝz
manor,ˈmænɝ
mansion,ˈmænʃən
manslaughter,ˈmænˌsɫɔtɝ
manta,ˈmæntə
mantel,ˈmæntəɫ
mantilla,mænˈtɪɫə
mantis,ˈmæntɪs
mantle,ˈmæntəɫ
mantra,ˈmæntɹə
mantua,ˈmæntʃuə
manual,ˈmænjuəɫ
manufacturer,ˌmænjəˈfæktʃɝɝ
manumission,ˌmɑnuˈmɪʃən
manure,məˈnʊɹ
manuscript,ˈmænjəsˌkɹɪpt
map,ˈmæp
maple,ˈmeɪpəɫ
mapping,ˈmæpɪŋ
maquiladora,ˌmækwɪˈɫædɝə
marabou,ˈmɛɹəˌbu
maraschino,ˌmæɹəˈskinoʊ
marathon,ˈmɛɹəˌθɑn
marauder,mɝˈɔdɝ
marble,ˈmɑɹbəɫ
marbles,ˈmɑɹbəɫz
marc,ˈmɑɹk
marcel,mɑɹˈsɛɫ
march,ˈmɑɹtʃ
marcher,ˈmɑɹtʃɝ
marchioness,ˈmɑɹʃənɛs
mare,ˈmɛɹ
margarine,ˈmɑɹdʒɝən
margarita,ˌmɑɹɡɝˈitə
margin,ˈmɑɹdʒən
margrave,ˈmɑɹˌɡɹeɪv
marguerite,ˌmɑɹɡɝˈit
mariachi,ˌmɑɹiˈɑtʃi
marijuana,ˌmɛɹəˈwɑnə
marimba,mɝˈɪmbə
marina,mɝˈinə
mariner,ˈmɛɹənɝ
mariposa,ˌmæɹɪˈpoʊsə
mark,ˈmɑɹk
marker,ˈmɑɹkɝ
market,ˈmɑɹkət
marketing,ˈmɑɹkətɪŋ
marketplace,ˈmɑɹkətˌpɫeɪs
marking,ˈmɑɹkɪŋ
markka,ˈmɑɹkə
marksman,ˈmɑɹksmən
marksmanship,ˈmɑɹksmənʃɪp
markup,ˈmɑɹˌkəp
marlin,ˈmɑɹɫən
marmalade,ˈmɑɹməˌɫeɪd
marmoset,ˈmɑɹməˌzɛt
maroon,mɝˈun
marquee,mɑɹˈki
marquess,ˈmɑɹkwəs
marquis,ˌmɑɹˈki
marriage,ˈmɛɹɪdʒ
married,ˈmɛɹid
marrow,ˈmɛɹoʊ
marseille,mɑɹˈsaɪɫ
marsh,ˈmɑɹʃ
marshal,ˈmɑɹʃəɫ
marshmallow,ˈmɑɹʃˌmɛɫoʊ
marsupial,mɑɹˈsupiəɫ
marten,ˈmɑɹtən
martin,ˈmɑɹtən
martingale,ˈmɑɹtɪˌŋeɪɫ
martini,mɑɹˈtini
martyr,ˈmɑɹtɝ
martyrdom,ˈmɑɹtɝdəm
mascara,mæˈskɛɹə
mascot,ˈmæsˌkɑt
masculine,ˈmæskjəɫən
masculinity,ˌmæskjəˈɫɪnəti
mash,ˈmæʃ
mask,ˈmæsk
masking,ˈmæskɪŋ
masochism,ˈmæsəkɪzəm
masochist,ˈmæsəkɪst
mason,ˈmeɪsən
masonry,ˈmeɪsənɹi
masquerade,ˌmæskɝˈeɪd
mass,ˈmæs
massage,məˈsɑʒ
massager,məˈsɑʒɝ
masse,ˈmæs
massif,ˈmæsɪf
mast,ˈmæst
mastectomy,mæˈstɛktəmi
master,ˈmæstɝ
mastering,ˈmæstɝɪŋ
masterpiece,ˈmæstɝˌpis
masterstroke,ˈmæstɝˌstɹoʊk
mastery,ˈmæstɝi
masthead,ˈmæstˌhɛd
mastiff,ˈmæstəf
mastoiditis,ˌmæstɔɪˈdaɪtəs
masturbation,ˌmæstɝˈbeɪʃən
mat,ˈmæt
matador,ˈmætəˌdɔɹ
match,ˈmætʃ
matchbook,ˈmætʃˌbʊk
matchbox,ˈmætʃˌbɑks
matchlock,ˈmætʃˌɫɑk
matchmaker,ˈmætʃˌmeɪkɝ
matchmaking,ˈmætʃˌmeɪkɪŋ
mate,ˈmeɪt
material,məˈtɪɹiəɫ
materialism,məˈtɪɹiəˌɫɪzəm
materialist,məˈtɪɹiəɫɪst
materiality,məˌtɪɹiˈæɫɪti
materiel,məˌtɪɹiˈɛɫ
mathematician,ˌmæθəməˈtɪʃən
mathematics,ˌmæθəˈmætɪks
matinee,ˈmætɪˌneɪ
matriarch,ˈmeɪtɹiˌɑɹk
matriarchy,ˈmeɪtɹiˌɑɹki
matriculate,məˈtɹɪkjəɫeɪt
matrimony,ˈmætɹəˌmoʊni
matrix,ˈmeɪtɹɪks
matron,ˈmeɪtɹən
matte,ˈmæt
matter,ˈmætɝ
matting,ˈmætɪŋ
mattress,ˈmætɹəs
maturation,ˌmætʃɝˈeɪʃən
maturity,məˈtʃʊɹəti
maul,ˈmɔɫ
mauler,ˈmɔɫɝ
maund,ˈmɔnd
mausoleum,ˌmɔsəˈɫiəm
mauve,ˈmɔv
maverick,ˈmævɝɪk
maxi,ˈmæksi
maxim,ˈmæksəm
maximization,ˌmæksɪmɪˈzeɪʃən
maximum,ˈmæksəməm
maxwell,ˈmækˌswɛɫ
mayhem,ˈmeɪˌhɛm
mayor,ˈmeɪɝ
mayoralty,ˈmeɪɝəɫti
maze,ˈmeɪz
mazer,ˈmeɪzɝ
mead,ˈmid
meal,ˈmiɫ
mealtime,ˈmiɫˌtaɪm
mean,ˈmin
meander,miˈændɝ
meaning,ˈminɪŋ
meanness,ˈminnəs
means,ˈminz
measles,ˈmizəɫz
measure,ˈmɛʒɝ
measurement,ˈmɛʒɝmənt
meat,ˈmit
mecca,ˈmɛkə
mechanics,məˈkænɪks
mechanism,ˈmɛkəˌnɪzəm
medalist,ˈmɛdəɫɪst
medallion,məˈdæɫjən
meddling,ˈmɛdəɫɪŋ
median,ˈmidiən
mediation,ˌmidiˈeɪʃən
mediator,ˈmidiˌeɪtɝ
medication,ˌmɛdəˈkeɪʃən
medicine,ˈmɛdəsən
medina,məˈdaɪnə
meditation,ˌmɛdəˈteɪʃən
medium,ˈmidiəm
medlar,ˈmɛdɫɝ
medley,ˈmɛdɫi
medulla,mɪˈdəɫə
medusa,məˈdusə
meet,ˈmit
meeting,ˈmitɪŋ
megabit,ˈmɛɡəbɪt
megabyte,ˈmɛɡəˌbaɪt
megadeath,ˈmɛɡəˌdɛθ
megahertz,ˈmɛɡəhɝts
megalomania,ˌmɛɡəɫoʊˈmeɪniə
megalomaniac,ˌmɛɡəɫoʊˈmeɪniˌæk
megalopolis,ˌmɛɡəˈɫɑpəɫəs
megaphone,ˈmɛɡəˌfoʊn
megaton,ˈmɛɡəˌtən
megawatt,ˈmɛɡəˌwɑt
meiosis,maɪˈoʊsəs
melamine,ˈmɛɫəˌmin
melancholic,ˌmɛɫənˈkɑɫɪk
melancholy,ˈmɛɫənˌkɑɫi
melanoma,ˌmɛɫəˈnoʊmə
melatonin,ˌmɛɫəˈtoʊnɪn
melee,ˈmeɪˌɫeɪ
mellowing,ˈmɛɫoʊɪŋ
melodrama,ˈmɛɫəˌdɹɑmə
melody,ˈmɛɫədi
melon,ˈmɛɫən
meltdown,ˈmɛɫtˌdaʊn
meltwater,ˈmɛɫtˌwɑtɝ
member,ˈmɛmbɝ
membership,ˈmɛmbɝˌʃɪp
membrane,ˈmɛmˌbɹeɪn
meme,ˈmim
memento,mɪˈmɛntoʊ
memo,ˈmɛˌmoʊ
memoir,ˈmɛmˌwɑɹ
memorabilia,ˌmɛmɝəˈbiɫjə
memorial,məˈmɔɹiəɫ
memory,ˈmɛmɝi
menace,ˈmɛnəs
menagerie,məˈnædʒɝi
mend,ˈmɛnd
mendacity,mɛnˈdæsɪti
mending,ˈmɛndɪŋ
menial,ˈminiəɫ
meningitis,ˌmɛnənˈdʒaɪtəs
menopause,ˈmɛnəˌpaʊz
menorah,məˈnɔɹə
mensch,ˈmɛnʃ
menthol,ˈmɛnθɔɫ
mention,ˈmɛnʃən
mentor,ˈmɛnˌtɔɹ
menu,ˈmɛnju
meow,miˈaʊ
mercenary,ˈmɝsəˌnɛɹi
mercer,ˈmɝsɝ
merchandise,ˈmɝtʃənˌdaɪz
mercury,ˈmɝkjɝi
mercy,ˈmɝsi
mere,ˈmɪɹ
merging,ˈmɝdʒɪŋ
meridian,mɝˈɪdiən
merino,mɝˈinoʊ
merit,ˈmɛɹət
meritocracy,mɛɹɪˈtɔkɹəsi
mermaid,ˈmɝˌmeɪd
merman,ˈmɝˌmæn
mesa,ˈmeɪsə
mescaline,ˈmɛskəˌɫin
mesh,ˈmɛʃ
meson,ˈmeɪˌzɑn
mess,ˈmɛs
message,ˈmɛsədʒ
messaging,ˈmɛsɪdʒɪŋ
messenger,ˈmɛsəndʒɝ
messiah,məˈsaɪə
mestizo,mɛˈstizoʊ
metabolism,məˈtæbəˌɫɪzəm
metabolite,məˈtæbəˌɫaɪt
metacarpal,ˌmɛtəˈkɑɹpəɫ
metallic,məˈtæɫɪk
metallurgy,ˈmɛtəɫɝdʒi
metalwork,ˈmɛtəɫˌwɝk
metalworking,ˈmɛtəɫˌwɝkɪŋ
metamorphosis,ˌmɛtəˈmɔɹfəsəs
metaphor,ˈmɛtəfɔɹ
metaphysics,ˌmɛtəˈfɪzɪks
metastasis,məˈtæstəsɪs
meteor,ˈmitiɝ
meteorite,ˈmitiɔˌɹaɪt
meteorologist,ˌmitiɝˈɑɫədʒɪst
meteorology,ˌmitiɝˈɑɫədʒi
meter,ˈmitɝ
methadone,ˈmɛθəˌdoʊn
methane,ˈmɛˌθeɪn
method,ˈmɛθəd
methodology,ˌmɛθəˈdɑɫədʒi
methotrexate,ˌmɛθoʊˈtɹɛkˌseɪt
methyl,ˈmɛθəɫ
metier,ˈmɛtjɝ
metro,ˈmɛˌtɹoʊ
metropolitan,ˌmɛtɹəˈpɑɫətən
mew,ˈmju
mezuzah,məˈzʊzə
mezzanine,ˈmɛzəˌnin
mi,ˈmi
miasma,maɪˈæzmə
microbe,ˈmaɪˌkɹoʊb
microbiologist,ˌmaɪkɹoʊbiˈɑɫədʒɪst
microbiology,ˌmaɪkɹəˌbaɪˈɑɫədʒi
microbrewery,ˈmaɪˌkɹoʊˌbɹuɝi
microcosm,ˈmaɪkɹəˌkɑzəm
microeconomics,ˌmaɪkɹoʊˌɛkəˈnɑmɪks
microelectronics,ˌmaɪkɹoʊɪɫɛkˈtɹɑnɪks
microfiche,ˈmaɪkɹoʊˌfitʃ
microfilm,ˈmaɪkɹəˌfɪɫm
microfossil,ˈmaɪˌkɹoʊˈfɑsəɫ
microgram,ˈmaɪkɹoʊˌɡɹæm
micrometer,maɪˈkɹɑmətɝ
micron,ˈmaɪˌkɹɑn
micropaleontology,ˌmaɪkɹoʊˌpeɪɫiənˈtɑɫədʒi
microphone,ˈmaɪkɹəˌfoʊn
microprocessor,ˌmaɪkɹoʊˈpɹɑsɛsɝ
microscope,ˈmaɪkɹəˌskoʊp
microscopy,maɪˈkɹəskəpi
microtubule,ˈmaɪˌkɹoʊˈtubjuɫ
microwave,ˈmaɪkɹəˌweɪv
midafternoon,ˈmɪˌdæftɝˌnun
midair,ˈmɪˈdɛɹ
middle,ˈmɪdəɫ
middleweight,ˈmɪdəɫˌweɪt
midland,ˈmɪdˌɫænd
midnight,ˈmɪdˌnaɪt
midrib,ˈmɪdɹɪb
midshipman,ˈmɪdˈʃɪpmən
midst,ˈmɪdst
midstream,ˈmɪdˌstɹim
midterm,ˈmɪdˌtɝm
midway,ˈmɪdˌweɪ
midweek,ˈmɪdˌwik
midwife,ˈmɪdˌwaɪf
midwifery,ˈmɪdˌwaɪfɝi
midwinter,ˈmɪdˈwɪntɝ
might,ˈmaɪt
migraine,ˈmaɪˌɡɹeɪn
migrant,ˈmaɪɡɹənt
migration,maɪˈɡɹeɪʃən
mikado,mɪˈkɑdoʊ
mil,ˈmɪɫ
mildew,ˈmɪɫˌdu
mile,ˈmaɪɫ
mileage,ˈmaɪɫədʒ
miler,ˈmaɪɫɝ
milestone,ˈmaɪɫˌstoʊn
milieu,mɪɫˈjʊ
militant,ˈmɪɫətənt
militarism,ˈmɪɫətɝˌɪzəm
military,ˈmɪɫəˌtɛɹi
militia,məˈɫɪʃə
milk,ˈmɪɫk
milkman,ˈmɪɫkˌmæn
milkweed,ˈmɪɫˌkwid
mill,ˈmɪɫ
millennium,məˈɫɛniəm
miller,ˈmɪɫɝ
millibar,ˈmɪɫəˌbɑɹ
milligram,ˈmɪɫəˌɡɹæm
milliliter,ˈmɪɫəˌɫitɝ
millimeter,ˈmɪɫəˌmitɝ
milling,ˈmɪɫɪŋ
million,ˈmɪɫjən
millionaire,ˌmɪɫjəˈnɛɹ
millionth,ˈmɪɫjənθ
millisecond,ˈmɪɫɪˌsɛkənd
millstone,ˈmɪɫˌstoʊn
milt,ˈmɪɫt
mime,ˈmaɪm
mimeograph,ˈmɪmiəˌɡɹæf
mimic,ˈmɪmɪk
mimicry,ˈmɪmɪkɹi
mimosa,mɪˈmoʊsə
minaret,ˌmɪnɝˈɛt
mince,ˈmɪns
mincemeat,ˈmɪnsˌmit
mincer,ˈmɪnsɝ
mind,ˈmaɪnd
mine,ˈmaɪn
miner,ˈmaɪnɝ
mineralogist,ˌmɪnɝˈæɫədʒɪst
mineralogy,ˌmɪnɝˈɑɫədʒi
minesweeper,ˈmaɪnˌswipɝ
minge,ˈmɪndʒ
mingling,ˈmɪŋɡəɫɪŋ
miniature,ˈmɪniəˌtʃʊɹ
miniaturization,ˌmɪniəˌtʃɝɪˈzeɪʃən
minibus,ˈmɪniˌbəs
minicar,ˈmɪniˌkɑɹ
minicomputer,ˌmɪnikəmˈpjutɝ
minimalism,ˈmɪnəməˌɫɪzəm
minimalist,ˈmɪnəməɫɪst
minimum,ˈmɪnəməm
mining,ˈmaɪnɪŋ
minion,ˈmɪnjən
miniskirt,ˈmɪniˌskɝt
minister,ˈmɪnəstɝ
ministry,ˈmɪnəstɹi
minivan,ˈmɪniˈvæn
mink,ˈmɪŋk
minority,maɪˈnɔɹəti
minoxidil,mɪˈnɑksɪdɪɫ
minster,ˈmɪnstɝ
minstrel,ˈmɪnstɹəɫ
mint,ˈmɪnt
mintage,ˈmɪntədʒ
minuet,mɪnˌjuˈɛt
minuscule,ˈmɪnəˌskjuɫ
minute,ˈmɪnət
minutes,ˈmɪnəts
minutia,mɪˈnuʃiə
miracle,ˈmɪɹəkəɫ
mirage,mɝˈɑʒ
mire,ˈmaɪɝ
mirror,ˈmɪɹɝ
misanthrope,ˈmɪsənˌθɹoʊp
misapplication,mɪˌsæpɫəˈkeɪʃən
misappropriation,ˌmɪsəˌpɹoʊpɹiˈeɪʃən
misbehavior,ˌmɪsbəˈheɪvjɝ
miscalculation,mɪˈskæɫkjəˈɫeɪʃən
miscarriage,mɪˈskɛɹədʒ
mischief,ˈmɪstʃəf
misconception,mɪskənˈsɛpʃən
misconduct,mɪˈskɑndəkt
miscue,ˈmɪsˌkju
misdemeanor,ˌmɪsdəˈminɝ
miser,ˈmaɪzɝ
misery,ˈmɪzɝi
misfire,mɪsˈfaɪɝ
misfit,ˈmɪsˌfɪt
misfortune,mɪsˈfɔɹtʃən
misgiving,mɪsˈɡɪvɪŋ
misgovernment,mɪsˈɡəvɝnmənt
mishap,ˈmɪsˌhæp
misinformation,ˌmɪsɪnfɝˈmeɪʃən
misinterpretation,mɪsɪnˌtɝpɹəˈteɪʃən
mismanagement,mɪsˈmænɪdʒmənt
mismatch,ˈmɪsˌmætʃ
misnomer,mɪsˈnoʊmɝ
misogynist,ˈmɪzədʒɪnɪst
misogyny,ˈmɪzədʒɪni
misprint,ˈmɪsˈpɹɪnt
misreading,mɪsˈɹidɪŋ
misrepresentation,mɪsˌɹɛpɹɪzɛnˈteɪʃən
miss,ˈmɪs
missal,ˈmɪsəɫ
missile,ˈmɪsəɫ
mission,ˈmɪʃən
missionary,ˈmɪʃəˌnɛɹi
misspelling,mɪˈspɛɫɪŋ
misstatement,mɪˈsteɪtmənt
missus,ˈmɪsɪz
mist,ˈmɪst
mistake,mɪˈsteɪk
mistletoe,ˈmɪsəɫˌtoʊ
mistral,ˈmɪstɹəɫ
mistreatment,mɪˈstɹitmənt
mistress,ˈmɪstɹəs
misuse,mɪsˈjus
mite,ˈmaɪt
miter,ˈmaɪtɝ
mitochondrion,ˌmaɪtəˈkɑndɹiən
mitten,ˈmɪtən
mitzvah,ˈmɪtsvə
mix,ˈmɪks
mixer,ˈmɪksɝ
mixology,ˈmɪkˈsɔɫəˌɡi
mnemonic,niˈmɑnɪk
mnemonics,niˈmɑnɪks
moat,ˈmoʊt
mob,ˈmɑb
mobile,ˈmoʊbəɫ
mobility,moʊˈbɪɫəti
mobilization,ˌmoʊbəɫəˈzeɪʃən
moccasin,ˈmɑkəsɪn
mocha,ˈmoʊkə
mock,ˈmɑk
mockingbird,ˈmɑkɪŋˌbɝd
mod,ˈmɔd
modality,məˈdæɫəti
mode,ˈmoʊd
model,ˈmɑdəɫ
modeling,ˈmɑdəˌɫɪŋ
modem,ˈmoʊdəm
moderation,ˌmɑdɝˈeɪʃən
moderator,ˈmɑdɝˌeɪtɝ
modern,ˈmɑdɝn
modernism,ˈmɑdɝˌnɪzəm
modernist,ˈmɑdɝnɪst
modernity,mɑˈdɝnəti
modernization,ˌmɑdɝnaɪˈzeɪʃə
modesty,ˈmɑdəsti
modicum,ˈmɑdɪkəm
modification,ˌmɑdəfəˈkeɪʃən
modifier,ˈmɑdəˌfaɪɝ
modulation,ˌmɑdʒəˈɫeɪʃən
module,ˈmɑdʒuɫ
modulus,ˈmɔdʒuɫʊs
mogul,ˈmoʊɡəɫ
moiety,ˈmɔɪəˌti
moisture,ˈmɔɪstʃɝ
mojo,ˈmoʊdʒoʊ
moke,ˈmoʊk
molar,ˈmoʊɫəɹ
molasses,məˈɫæsəz
mold,ˈmoʊɫd
molding,ˈmoʊɫdɪŋ
mole,ˈmoʊɫ
molehill,ˈmoʊɫˌhɪɫ
moleskin,ˈmɔɫɛˌskɪn
molestation,ˌmoʊɫɛˈsteɪʃən
molester,məˈɫɛstɝ
moll,ˈmɑɫ
mollie,ˈmɑɫi
mollusk,ˈmɑɫəsk
mollycoddle,ˈmɑɫiˌkɑdəɫ
molt,ˈmoʊɫt
molter,ˈmoʊɫtɝ
moment,ˈmoʊmənt
momentum,moʊˈmɛntəm
monad,ˈmoʊnæd
monarch,ˈmɑˌnɑɹk
monarchist,ˈmɑnɑɹkɪst
monarchy,ˈmɑnɑɹki
monastery,ˈmɑnəˌstɛɹi
