abandoned,əˈbændənd
descending,dɪˈsɛndɪŋ
described,dɪsˈkɹaɪbd
descriptive,dɪsˈkɹɪptɪv
desecrated,dɛsəˈkɹeɪtɪd
desensitizing,dɪˈsɛnsəˌtaɪzɪŋ
desiccated,ˈdɛsəkeɪtəd
designed,dɪˈzaɪnd
designing,dɪˈzaɪnɪŋ
desirable,dɪˈzaɪɝəbəɫ
desolate,ˈdɛsəˌɫeɪt
despairing,dɪˈspɛɹɪŋ
desperate,ˈdɛspɝɪt
despised,dɪˈspaɪzd
despondent,dɪˈspɑndənt
despotic,dɪˈspɑtɪk
destitute,ˈdɛstəˌtut
destroyed,dɪˈstɹɔɪd
destructive,dɪˈstɹəktɪv
desultory,ˈdɛsəɫˌtɔɹi
detachable,diˈtætʃəbəɫ
detached,diˈtætʃt
detailed,dɪˈteɪɫd
detectable,dɪˈtɛktəbəɫ
detected,dɪˈtɛktəd
detergent,dɪˈtɝdʒənt
determinable,dɪˈtɝmənəbəɫ
determinate,dɪˈtɝməˌneɪt
determined,dɪˈtɝmənd
deterministic,dɪˌtɝməˈnɪstɪk
deterrent,dɪˈtɝɹənt
developed,dɪˈvɛɫəpt
developing,dɪˈvɛɫəpɪŋ
developmental,dɪˌvɛɫəpˈmɛnəɫ
devilish,ˈdɛvɫɪʃ
devious,ˈdiviəs
devoted,dɪˈvoʊtɪd
devotional,dɪˈvoʊʃənəɫ
devout,dɪˈvaʊt
dexter,ˈdɛkstɝ
diabetic,ˌdaɪəˈbɛtɪk
diacritic,ˌdaɪəˈkɹɪtək
diagnostic,ˌdaɪəɡˈnɑstɪk
diagonal,daɪˈæɡənəɫ
diagrammatic,ˌdaɪəɡɹəˈmætɪk
dialectic,ˌdaɪəˈɫɛktɪk
diamagnetic,ˌdaɪəmæɡˈnɛtɪk
diaphanous,daɪˈæfənɪs
diastolic,ˌdaɪəˈstɑɫɪk
diatomic,ˌdaɪəˈtɑmɪk
diatonic,ˌdaɪəˈtɑnɪk
diazo,daɪˈæˌzoʊ
dicky,ˈdɪki
dictatorial,ˌdɪktəˈtɔɹiəɫ
didactic,daɪˈdæktɪk
dietary,ˈdaɪəˌtɛɹi
different,ˈdɪfɝənt
differential,ˌdɪfɝˈɛnʃəɫ
differentiated,ˌdɪfɝˈɛnʃiˌeɪtɪd
difficult,ˈdɪfəkəɫt
diffuse,dɪfˈjus
diffused,dɪfˈjuzd
diffusing,dɪfˈjuzɪŋ
digestible,daɪˈdʒɛstəbəɫ
digestive,daɪˈdʒɛstɪv
digital,ˈdɪdʒətəɫ
dignified,ˈdɪɡnəˌfaɪd
dilatory,ˈdɪɫəˌtɔɹi
diligent,ˈdɪɫɪdʒənt
diluted,daɪˈɫutəd
dim,ˈdɪm
dimensional,dɪˈmɛnʃənəɫ
diminished,dɪˈmɪnɪʃt
diminishing,dɪˈmɪnɪʃɪŋ
dimmed,ˈdɪmd
dimorphic,daɪˈmɔɹfɪk
dinky,ˈdɪŋki
diocesan,daɪˈɑsəsən
diplomatic,ˌdɪpɫəˈmætɪk
direct,daɪˈɹɛkt
directed,daɪˈɹɛktɪd
directing,daɪˈɹɛktɪŋ
directional,daɪˈɹɛkʃɪnəɫ
dirt,ˈdɝt
dirty,ˈdɝti
disabling,ˌdɪˈseɪbɫɪŋ
disadvantageous,ˌdɪˌsædˌvænˈteɪdʒəs
disaffected,ˌdɪsəˈfɛktɪd
disagreeable,ˌdɪsəˈɡɹiəbəɫ
disappointing,ˌdɪsəˈpɔɪnɪŋ
disarming,dɪˈsɑɹmɪŋ
disbelieving,dɪsbəˈɫivɪŋ
discernible,dɪˈsɝnəbəɫ
discerning,dɪˈsɝnɪŋ
disciplinary,ˈdɪsəpɫəˌnɛɹi
disciplined,ˈdɪsəpɫənd
disclosed,dɪˈskɫoʊzd
discombobulated,ˌdɪskəmˈbɔbjuɫeɪtəd
disconcerting,ˌdɪskənˈsɝtɪŋ
disconnected,ˌdɪskəˈnɛktɪd
discontented,ˌdɪskənˈtɛntɪd
discontinued,dɪskənˈtɪnjud
discordant,dɪˈskɔɹdənt
discouraged,dɪˈskɝədʒd
discouraging,dɪˈskɝədʒɪŋ
discredited,dɪsˈkɹɛdɪtɪd
discreet,dɪsˈkɹit
discrete,dɪsˈkɹit
discretionary,dɪsˈkɹɛʃəˌnɛɹi
discriminate,dɪsˈkɹɪməˌneɪt
discriminating,dɪsˈkɹɪməˌneɪtɪŋ
discriminative,dɪsˈkɹɪmənətɪv
discriminatory,dɪsˈkɹɪmənəˌtɔɹi
disdainful,dɪsˈdeɪnfəɫ
diseased,dɪˈzizd
disfigured,dɪsˈfɪɡjɝd
disgruntled,dɪsˈɡɹənəɫd
disgusted,dɪsˈɡəstəd
disgusting,dɪsˈɡəstɪŋ
dished,ˈdɪʃt
disheveled,dɪˈʃɛvəɫd
dishonest,dɪˈsɑnəst
dishonorable,dɪˈsɑnɝəbəɫ
disinclined,ˌdɪsɪnˈkɫaɪnd
disingenuous,dɪsɪnˈdʒɛnjuəs
disinterested,dɪˈsɪnɹɪstɪd
disjoint,dɪsˈdʒɔɪnt
disjointed,dɪsˈdʒɔɪntɪd
disliked,dɪˈsɫaɪkt
dismissive,dɪsˈmɪsɪv
disobedient,ˌdɪsəˈbidiənt
disordered,dɪˈsɔɹdɝd
disorderly,dɪˈsɔɹdɝɫi
disorganized,dɪˈsɔɹɡəˌnaɪzd
disorienting,dɪˈsɔɹiˌɛntɪŋ
disowned,dɪˈsoʊnd
disparate,ˈdɪspɝɪt
dispassionate,dɪˈspæʃənət
dispensed,dɪˈspɛnst
dispersed,dɪˈspɝst
dispirited,dɪˈspɪɹətɪd
displeased,dɪsˈpɫizd
disposable,dɪˈspoʊzəbəɫ
disposed,dɪˈspoʊzd
disproportionate,ˌdɪspɹəˈpɔɹʃənɪt
disputed,dɪˈspjutəd
disquieting,dɪsˈkwaɪətɪŋ
disregarded,ˌdɪsɹɪˈɡɑɹdɪd
disreputable,dɪsˈɹɛpjətəbəɫ
disrespectful,ˌdɪsɹɪˈspɛktfəɫ
disrupted,dɪsˈɹəptɪd
disruptive,dɪsˈɹəptɪv
dissident,ˈdɪsədənt
dissimilar,dɪˈsɪməɫɝ
dissolved,dɪˈzɑɫvd
distal,ˈdɪstəɫ
distant,ˈdɪstənt
distasteful,dɪˈsteɪstfəɫ
distinct,dɪˈstɪŋkt
distinctive,dɪˈstɪŋktɪv
distinguishable,dɪˈstɪŋɡwɪʃəbəɫ
distinguished,dɪˈstɪŋɡwɪʃt
distinguishing,dɪˈstɪŋɡwɪʃɪŋ
distorted,dɪˈstɔɹtəd
distracted,dɪˈstɹæktəd
distraught,dɪˈstɹɔt
distressing,dɪˈstɹɛsɪŋ
distributed,dɪˈstɹɪbjətəd
distributive,dɪˈstɹɪbjutɪv
distrustful,dɪˈstɹəstfəɫ
disturbed,dɪˈstɝbd
diurnal,daɪˈɝnəɫ
divergent,daɪˈvɝdʒənt
divers,ˈdaɪvɝz
diverse,daɪˈvɝs
diversified,daɪˈvɝsəˌfaɪd
diversionary,daɪˈvɝʒəˌnɛɹi
divided,dɪˈvaɪdɪd
dividing,dɪˈvaɪdɪŋ
divine,dɪˈvaɪn
divisible,dɪˈvɪzəbəɫ
divisional,dɪˈvɪʒənəɫ
divorced,dɪˈvɔɹst
docile,ˈdɑsəɫ
doctoral,ˈdɑktɝəɫ
doctrinaire,ˌdɑktɹəˈnɛɹ
doctrinal,ˈdɑktɹənəɫ
documentary,ˌdɑkjəˈmɛnɝi
documented,ˈdɑkjəˌmɛnəd
doddering,ˈdɑdɝɪŋ
dogged,ˈdɔɡd
dogging,ˈdɔɡɪŋ
dogmatic,dɑɡˈmætɪk
doleful,ˈdoʊɫfəɫ
domed,ˈdoʊmd
domestic,dəˈmɛstɪk
dominant,ˈdɑmənənt
dominated,ˈdɑməˌneɪtəd
domineering,ˌdɑməˈnɪɹɪŋ
done,ˈdən
doomed,ˈdumd
doped,ˈdoʊpt
dormant,ˈdɔɹmənt
dorsal,ˈdɔɹsəɫ
dotted,ˈdɑtəd
double,ˈdəbəɫ
doubtful,ˈdaʊtfəɫ
doubting,ˈdaʊtɪŋ
doughy,ˈdoʊi
dour,ˈdaʊɝ
down,ˈdaʊn
downcast,ˈdaʊnˌkæst
downright,ˈdaʊnˌɹaɪt
downscale,ˈdaʊnˌskeɪɫ
downstage,ˈdaʊnˌsteɪdʒ
downstairs,ˈdaʊnˈstɛɹz
downstream,ˈdaʊnˈstɹim
downtown,ˈdaʊnˈtaʊn
downward,ˈdaʊnwɝd
downwind,daʊnˈwɪnd
downy,ˈdaʊni
drab,ˈdɹæb
drafty,ˈdɹæfti
draining,ˈdɹeɪnɪŋ
dramatic,dɹəˈmætɪk
draped,ˈdɹeɪpt
drawn,ˈdɹɔn
dreadful,ˈdɹɛdfəɫ
dreamed,ˈdɹimd
dreamlike,ˈdɹimˌɫaɪk
dreamy,ˈdɹimi
drenched,ˈdɹɛntʃt
dressed,ˈdɹɛst
dressy,ˈdɹɛsi
dried,ˈdɹaɪd
drilled,ˈdɹɪɫd
drinkable,ˈdɹɪnkəbəɫ
driven,ˈdɹɪvən
driving,ˈdɹaɪvɪŋ
drizzling,ˈdɹɪzəɫɪŋ
droll,ˈdɹoʊɫ
drooping,ˈdɹupɪŋ
dropping,ˈdɹɑpɪŋ
drowsy,ˈdɹaʊzi
drumhead,ˈdɹəmˌhɛd
dry,ˈdɹaɪ
dual,ˈduəɫ
dualistic,ˌduəˈɫɪstɪk
dubious,ˈdubiəs
ducal,ˈdukəɫ
ductile,ˈdəktəɫ
ductless,ˈdəktɫəs
dud,ˈdəd
due,ˈdju
dulcet,ˈdəɫsət
dull,ˈdəɫ
dulled,ˈdəɫd
dumb,ˈdəm
dumbfounded,ˈdəmfaʊndɪd
dummy,ˈdəmi
dumpy,ˈdəmpi
dun,ˈdən
duodenal,ˈduəˈdinəɫ
duplex,ˈduˌpɫɛks
duplicate,ˈdupɫəˌkeɪt
durable,ˈdʊɹəbəɫ
dutiful,ˈdutifəɫ
dwindling,ˈdwɪndəɫɪŋ
dying,ˈdaɪɪŋ
dynamic,daɪˈnæmɪk
dynastic,daɪˈnæstɪk
dysfunctional,dɪsˈfəŋkʃənəɫ
dyslexic,dɪˈsɫɛksɪk
dyspeptic,ˌdɪsˈpɛptɪk
each,ˈitʃ
eager,ˈiɡɝ
eared,ˈɪɹd
earless,ˈiɹɫəs
earlier,ˈɝɫiɝ
early,ˈɝɫi
earned,ˈɝnd
earnest,ˈɝnɪst
earthbound,ˈɝθˌbaʊnd
earthen,ˈɝθən
earthly,ˈɝθɫi
earthshaking,ˈɝθˌʃeɪkɪŋ
earthy,ˈɝθi
east,ˈist
eastbound,ˈistˌbaʊnd
easterly,ˈistɝɫi
eastern,ˈistɝn
easy,ˈizi
easygoing,ˈiziˈɡoʊɪŋ
ebullient,ˌɪˈbəɫjənt
eccentric,ˌɛkˈsɛntɹɪk
ecclesiastical,ɪˌkɫiziˈæstɪkəɫ
echoing,ˈɛkoʊɪŋ
eclectic,ɪˈkɫɛktɪk
ecological,ɛkəˈɫɑdʒɪkəɫ
econometric,ɪˌkɑnəˈmɛtɹɪk
economic,ˌɛkəˈnɑmɪk
economical,ˌɛkəˈnɑmɪkəɫ
ecstatic,ɛkˈstætɪk
edged,ˈɛdʒd
edgy,ˈɛdʒi
edifying,ˈɛdəˌfaɪɪŋ
editorial,ˌɛdəˈtɔɹiəɫ
educated,ˈɛdʒəˌkeɪtɪd
educational,ˌɛdʒəˈkeɪʃənəɫ
educative,ˌɛdʒɪˈkeɪtɪv
eellike,ˈiɫˌɫaɪk
effective,ˈifɛktɪv
effeminate,iˈfɛmɪnət
efferent,ˈɛfɝənt
effervescent,ˌɛfɝˈvɛsənt
effluent,ˈɛfɫuənt
effusive,ˈɛfjusɪv
eight,ˈeɪt
eighteen,ˈeɪˈtin
eighteenth,ˈeɪˈtinθ
eighth,ˈeɪtθ
eightieth,ˈeɪtiɪθ
eighty,ˈeɪti
elaborate,ɪˈɫæbɝˌeɪt
elapsed,ɪˈɫæpst
elated,ɪˈɫeɪtəd
elder,ˈɛɫdɝ
eldritch,ˈɛɫdɹɪtʃ
elect,ɪˈɫɛkt
electoral,ɪˈɫɛktɝəɫ
electric,ɪˈɫɛktɹɪk
electrical,ɪˈɫɛktɹɪkəɫ
electrochemical,ˌəˌɫɛktɹoʊˈkɛmɪkəɫ
electrolytic,ˌɪˌɫɛktɹəˈɫɪtɪk
electromagnetic,ˌɪˌɫɛktɹoʊmæɡˈnɛtɪk
electromechanical,ˌɪˌɫɛktɹoʊməˈkænɪkəɫ
electronic,ˌɪˌɫɛkˈtɹɑnɪk
electrostatic,ˌɪˌɫɛktɹoʊˈstætɪk
elegant,ˈɛɫəɡənt
elemental,ˌɛɫəˈmɛnəɫ
elementary,ˌɛɫəˈmɛntɝɹi
elephantine,ˌɛɫəˈfænˌtin
elevated,ˈɛɫəˌveɪtɪd
eleven,ˈiɫɛvən
eleventh,ˈiɫɛvənθ
elfin,ˈɛɫfɪn
elicited,ɪˈɫɪsɪtɪd
ellipsoid,ɪˈɫɪpsɔɪd
elongate,ɪˈɫɔŋɡeɪt
eloquent,ˈɛɫəkwənt
elusive,ɪˈɫusɪv
embarrassing,ɪmˈbɛɹəsɪŋ
embattled,ɛmˈbætəɫd
embedded,ɛmˈbɛdɪd
embellished,ɛmˈbɛɫɪʃt
emblematic,ˌɛmbɫəˈmætɪk
emboldened,ɛmˈboʊɫdənd
embroidered,ɛmˈbɹɔɪdɝd
embroiled,ɛmˈbɹɔɪɫd
embryonic,ˌɛmbɹiˈɑnɪk
emergent,ˈimɝdʒənt
emerging,ˈimɝdʒɪŋ
emeritus,ɪˈmɛɹətəs
eminent,ˈɛmənənt
emotional,ˈiˌmoʊʃənəɫ
emphatic,ɛmˈfætɪk
empowered,ɪmˈpaʊɝd
empty,ˈɛmpti
enabling,ɛˈneɪbəɫɪŋ
enameled,ɪˈnæməɫd
encircled,ɪnˈsɝkəɫd
encircling,ɛnˈsɝkəɫɪŋ
encompassing,ɛnˈkəmpəsɪŋ
encouraging,ɛnˈkɝɪdʒɪŋ
encroaching,ɪnˈkɹoʊtʃɪŋ
encyclical,ɛnˈsɪkɫɪkəɫ
encyclopedic,ɪnˌsaɪkɫəˈpidɪk
endangered,ɛnˈdeɪndʒɝd
endemic,ɛnˈdɛmɪk
endless,ˈɛndɫəs
endocrine,ˈɛndoʊˌkɹaɪn
endogenous,ˌɛnˈdɔdʒɛnəs
endometrial,ˌɛndoʊˌmɛtɹiəɫ
endorsed,ɛnˈdɔɹst
endoscopic,ˌɛndoʊˈskɑpɪk
endothelial,ˌɛndoʊˈθiˌɫiəɫ
endowed,ɛnˈdaʊd
enduring,ɛnˈdjʊɹɪŋ
energizing,ˈɛnɝˌdʒaɪzɪŋ
enforceable,ɛnˈfɔɹsəbəɫ
enforced,ɛnˈfɔɹst
engaged,ɛnˈɡeɪdʒd
engaging,ɛnˈɡeɪdʒɪŋ
engraved,ɪnˈɡɹeɪvd
engrossed,ɪnˈɡɹoʊst
enigmatic,ˌɛnɪɡˈmætɪk
enjoyable,ˌɛnˈdʒɔɪəbəɫ
enlarged,ˌɛnˈɫɑɹdʒd
enlightening,ˌɛnˈɫaɪtənɪŋ
enlivened,ɛnˈɫaɪvənd
enmeshed,ɛnˈmɛʃt
ennobling,ɪˈnoʊbɫɪŋ
enormous,iˈnɔɹməs
enrolled,ɛnˈɹoʊɫd
ensuing,ˈɛnsuɪŋ
entangled,ɛnˈtæŋɡəɫd
entire,ɪnˈtaɪɝ
entrenched,ɛnˈtɹɛntʃt
entrepreneurial,ˌɑntɹəpɹəˈnɝiəɫ
enveloping,ɪnˈvɛɫəpɪŋ
enviable,ˈɛnviəbəɫ
environmental,ɪnˌvaɪɹənˈmɛnəɫ
envisioned,ɛnˈvɪʒənd
enzymatic,ˌɛnzaɪˈmætɪk
eosinophilic,ˌiəˈsɪnəˈfɪɫɪk
ephemeral,ɪˈfɛmɝəɫ
epic,ˈɛpɪk
epicurean,ˌɛpəkˈjʊɹiən
epidemic,ˌɛpəˈdɛmɪk
epidural,ˌɛpəˈdɝəɫ
epileptic,ˌɛpəˈɫɛptɪk
episcopal,ɪˈpɪskəpəɫ
episodic,ˌɛpəˈsɑdɪk
epistemic,ˌɛpɪˈstɛmɪk
epithelial,ɛpɪˈθɛɫjəɫ
epochal,ˈɛpəkəɫ
eponymous,ɛˈpɔˌnɪməs
equable,ˈɛkwəbəɫ
equatorial,ˌikwəˈtɔɹiəɫ
equestrian,ɪˈkwɛstɹiən
equiangular,ˌikwəˈæŋɡjəɫɝ
equine,ˈiˌkwaɪn
equipped,ɪˈkwɪpt
equivocal,ɪˈkwɪvəkəɫ
erect,ɪˈɹɛkt
ergonomic,ˌɝɡəˈnɑmɪk
eroded,ɪˈɹoʊdəd
erosive,ɪˈɹoʊsɪv
erotic,ɪˈɹɑtɪk
errant,ˈɛɹənt
erratic,ɪˈɹætɪk
ersatz,ˈɛɹˌsɑts
erstwhile,ˈɝstˌwaɪɫ
erudite,ˈɛɹəˌdaɪt
eruptive,ˌiˈɹəptɪv
esophageal,ɪˌsɑfəˈɡiəɫ
especial,əˈspɛʃəɫ
essential,ɛˈsɛnʃəɫ
established,ɪˈstæbɫɪʃt
esteemed,ɪˈstimd
estimable,ˈɛstəməbəɫ
estrous,ˈɛstɹəs
ethereal,ɪˈθɪɹiəɫ
ethical,ˈɛθɪkəɫ
ethnocentric,ˌɛθnoʊˈsɛntɹɪk
ethnographic,ˌɛθnəˈɡɹæfɪk
etymological,ˌɛtəməˈɫɑdʒəkəɫ
eugenic,juˈdʒɛnɪk
evanescent,ˌɛvəˈnɛsənt
evangelical,ˌivænˈdʒɛɫɪkəɫ
evangelistic,iˈvændʒəɫɪstɪk
evasive,iˈveɪzɪv
even,ˈivɪn
eventful,iˈvɛntfəɫ
eventual,əˈvɛntʃuəɫ
every,ˈɛvɝi
everyday,ˈɛvɹiˈdeɪ
evidenced,ˈɛvɪdənst
evidentiary,ˌɛvɪˈdɛnʃiɛɹi
eviscerate,əˈvɪsɝˌeɪt
evocative,ɪˈvɑkətɪv
evolutionary,ˌɛvəˈɫuʃəˌnɛɹi
exaggerated,ɪɡˈzædʒɝˌeɪtəd
exalted,ɪɡˈzɔɫtɪd
exasperated,ɪɡˈzæspɝˌeɪtɪd
exasperating,ɪɡˈzæspɝˌeɪtɪŋ
exceeding,ɪkˈsidɪŋ
excellent,ˈɛksəɫənt
exceptional,ɪkˈsɛpʃənəɫ
excess,ˈɛkˌsɛs
excessive,ɪkˈsɛsɪv
exchangeable,ɪksˈtʃeɪndʒəbəɫ
exchanged,ɪksˈtʃeɪndʒd
excitable,ɪkˈsaɪtəbəɫ
exciting,ɪkˈsaɪtɪŋ
exclusive,ɪkˈskɫusɪv
excretory,ˈɛkskɹəˌtɔɹi
excusable,ɪkˈskjuzəbəɫ
excused,ɪkˈskjuzd
executed,ˈɛksəkˌjutɪd
executive,ɪɡˈzɛkjətɪv
exemplary,ɪɡˈzɛmpɫɝi
exemplifying,ɪɡˈzɛmpɫəˌfaɪɪŋ
exempt,ɪɡˈzɛmpt
exhausted,ɪɡˈzɔstɪd
exhaustive,ɪɡˈzɔstɪv
exhilarating,ɪɡˈzɪɫɝˌeɪtɪŋ
exigent,ˈɛksɪdʒənt
existential,ˌɛɡˌzɪsˈtɛnʃəɫ
existing,ɪɡˈzɪstɪŋ
exorbitant,ɪɡˈzɔɹbɪtənt
expanded,ɪkˈspændəd
expansionist,ɪkˈspænʃənɪst
expansive,ɪkˈspænsɪv
expedient,ɪkˈspidiənt
expeditionary,ˌɛkspəˈdɪʃəˌnɛɹi
expendable,ɪkˈspɛndəbəɫ
experiential,ɛkˌspɛɹiˈɛnʃəɫ
experimental,ɪkˌspɛɹɪˈmɛntəɫ
expiratory,ɪkˈspaɪɹəˌtɔɹi
explanatory,ɪksˈpɫænəˌtɔɹi
exploded,ɪksˈpɫoʊdəd
exploitative,ˌɛksˈpɫɔɪtətɪv
exploited,ˈɛksˌpɫɔɪtəd
explosive,ɪksˈpɫoʊsɪv
exponential,ˌɛkspoʊˈnɛnʃəɫ
exposed,ɪkˈspoʊzd
expressed,ɪksˈpɹɛst
expressionist,ɪksˈpɹɛʃənəst
expressive,ɪksˈpɹɛsɪv
exquisite,ˈɛkskwəzət
extended,ɪkˈstɛndəd
extendible,ˌɛkˈstɛndɪbəɫ
extensive,ɪkˈstɛnsɪv
external,ɪkˈstɝnəɫ
extinct,ɪkˈstɪŋkt
extra,ˈɛkstɹə
extracellular,ˌɛkstɹəˈsɛɫjəɫɝ
extracurricular,ˌɛkstɹəkɝˈɪkjəɫɝ
extragalactic,ˌɛkstɹəɡəˈɫæktɪk
extralegal,ˌɛkstɹəˈɫiɡəɫ
extraneous,ɛkˈstɹeɪniəs
extraordinary,ˌɛkstɹəˈɔɹdəˌnɛɹi
extrasensory,ˌɛkstɹəˈsɛnsɝi
extraterrestrial,ˌɛkstɹətɝˈɛstɹiəɫ
extraterritorial,ˌɛkstɹəˌtɛɹɪˈtɔɹiəɫ
extravagant,ɛkˈstɹævəɡənt
extreme,ɛkˈstɹim
extremist,ɛkˈstɹimɪst
extrinsic,ɛkˈstɹɪnsɪk
extrovert,ˈɛkstɹəˌvɝt
exuberant,ɪɡˈzubɝənt
exultant,ɪɡˈzəɫtənt
eyeless,ˈaɪɫəs
fabian,ˈfeɪbiən
fabled,ˈfeɪbəɫd
fabulous,ˈfæbjəɫəs
faced,ˈfeɪst
faceless,ˈfeɪsɫəs
faceted,ˈfæsətɪd
facial,ˈfeɪʃəɫ
facile,ˈfæsəɫ
factitious,fækˈtɪʃəs
factual,ˈfæktʃuəɫ
facultative,ˈfækəɫˌteɪtɪv
failing,ˈfeɪɫɪŋ
faint,ˈfeɪnt
fair,ˈfɛɹ
fake,ˈfeɪk
fallacious,fəˈɫeɪʃəs
fallen,ˈfɑɫən
fallible,ˈfæɫəbəɫ
falling,ˈfɑɫɪŋ
fallow,ˈfæˌɫoʊ
falsetto,fɔɫˈsɛˌtoʊ
faltering,ˈfɔɫtɝɪŋ
familial,fəˈmɪɫjəɫ
familiar,fəˈmɪɫjɝ
famished,ˈfæmɪʃt
fanatic,fəˈnætɪk
fanciful,ˈfænsɪfəɫ
fancy,ˈfænsi
fanlike,ˈfænˌɫaɪk
fanned,ˈfænd
fantastic,fænˈtæstɪk
far,ˈfɑɹ
faraway,ˈfɑɹəˈweɪ
farcical,ˈfɑɹsəkəɫ
farfetched,ˈfɑɹˈfɛtʃt
farsighted,ˈfɑɹˈsaɪtəd
farther,ˈfɑɹðɝ
fascist,ˈfæʃɪst
fashioned,ˈfæʃənd
fast,ˈfæst
fastened,ˈfæsənd
fat,ˈfæt
fatal,ˈfeɪtəɫ
fatalist,ˈfeɪtəɫɪst
fateful,ˈfeɪtfəɫ
fatherless,ˈfɑðɝɫəs
fatherly,ˈfɑðɝɫi
fathomable,ˈfæðəməbəɫ
faulty,ˈfɔɫti
favored,ˈfeɪvɝd
favorite,ˈfeɪvɝɪt
fearful,ˈfɪɹfəɫ
feasible,ˈfizəbəɫ
feathery,ˈfɛðˌɹi
featured,ˈfitʃɝd
featureless,ˈfitʃɝɫəs
feckless,ˈfɛkɫɪs
federal,ˈfɛdɝəɫ
federate,ˈfɛdɝˌeɪt
feeble,ˈfibəɫ
feigned,ˈfeɪnd
feisty,ˈfaɪsti
feline,ˈfiˌɫaɪn
female,ˈfiˌmeɪɫ
feminine,ˈfɛmənən
feminist,ˈfɛmənɪst
femoral,ˈfɛˌmɝəɫ
feral,ˈfɛɹəɫ
fernlike,ˈfɝnˌɫaɪk
ferocious,fɝˈoʊʃəs
ferromagnetic,ˌfɛɹoʊˌmæɡˈnɛtɪk
fervent,ˈfɝvənt
fetal,ˈfitəɫ
fetching,ˈfɛtʃɪŋ
fettered,ˈfɛtɝd
feudal,ˈfjudəɫ
feverish,ˈfivɝɪʃ
few,ˈfju
fewer,ˈfjuɝ
fewest,ˈfjuəst
fey,ˈfeɪ
fibrous,ˈfaɪbɹəs
fickle,ˈfɪkəɫ
fictional,ˈfɪkʃənəɫ
fiduciary,fəˈduʃiˌɛɹi
fierce,ˈfɪɹs
fiery,ˈfaɪɝi
fifteen,ˈfɪfˈtin
fifteenth,fɪfˈtinθ
fifth,ˈfɪfθ
fiftieth,ˈfɪftiɪθ
fifty,ˈfɪfti
figurative,ˈfɪɡjɝətɪv
figured,ˈfɪɡjɝd
filial,ˈfɪɫiəɫ
filled,ˈfɪɫd
filmed,ˈfɪɫmd
filthy,ˈfɪɫθi
final,ˈfaɪnəɫ
financed,ˈfaɪˌnænst
fine,ˈfaɪn
finer,ˈfaɪnɝ
finished,ˈfɪnɪʃt
fireproof,ˈfaɪɝˌpɹuf
firm,ˈfɝm
first,ˈfɝst
firsthand,ˈfɝshænd
fiscal,ˈfɪskəɫ
fishy,ˈfɪʃi
fit,ˈfɪt
fitful,ˈfɪtfəɫ
fitted,ˈfɪtəd
fitter,ˈfɪtɝ
fitting,ˈfɪtɪŋ
five,ˈfaɪv
fixed,ˈfɪkst
flagellate,ˈfɫædʒəˌɫeɪt
flaky,ˈfɫeɪki
flamboyant,fɫæmˈbɔɪənt
flammable,ˈfɫæməbəɫ
flashy,ˈfɫæʃi
flat,ˈfɫæt
flatulent,ˈfɫætʃəɫənt
flavorful,ˈfɫeɪvɝfəɫ
flawless,ˈfɫɔɫəs
fleeting,ˈfɫitɪŋ
fleshy,ˈfɫɛʃi
flickering,ˈfɫɪkɝɪŋ
flightless,ˈfɫaɪtɫəs
flighty,ˈfɫaɪti
flinty,ˈfɫɪnti
flippant,ˈfɫɪpənt
floating,ˈfɫoʊtɪŋ
floored,ˈfɫɔɹd
floppy,ˈfɫɑpi
floral,ˈfɫɔɹəɫ
flowering,ˈfɫaʊɝɪŋ
flowery,ˈfɫaʊɝi
fluid,ˈfɫuəd
fluorescent,ˌfɫɔˈɹɛsənt
flushed,ˈfɫəʃt
flustered,ˈfɫəstɝd
fluvial,ˈfɫuviəɫ
fly,ˈfɫaɪ
flying,ˈfɫaɪɪŋ
foaming,ˈfoʊmɪŋ
focal,ˈfoʊkəɫ
focused,ˈfoʊkəst
foliate,ˈfoʊɫiˌeɪt
following,ˈfɑɫoʊɪŋ
fond,ˈfɑnd
foolhardy,ˈfuɫˌhɑɹdi
fooling,ˈfuɫɪŋ
foolish,ˈfuɫɪʃ
forbidden,ˈfɔɹbɪdən
forced,ˈfɔɹst
foregoing,fɔɹˈɡoʊɪŋ
foremost,ˈfɔɹˌmoʊst
forensic,ˌfɔˈɹɛnsɪk
forested,ˈfɔɹəstəd
forgetful,fɝˈɡɛtfəɫ
forgotten,fɝˈɡɑtən
forlorn,fɝˈɫɔɹn
formal,ˈfɔɹməɫ
formalized,ˈfɔɹməˌɫaɪzd
formative,ˈfɔɹmətɪv
formed,ˈfɔɹmd
former,ˈfɔɹmɝ
formic,ˈfɔɹmɪk
formidable,ˈfɔɹmədəbəɫ
formulaic,ˌfɔɹmjəˈɫeɪɪk
formulary,ˈfɔɹmjəˌɫɛɹi
formulated,ˈfɔɹmjəˌɫeɪtəd
forte,ˈfɔɹt
forthcoming,ˈfɔɹθˈkəmɪŋ
fortieth,ˈfɔɹtiɪθ
fortified,ˈfɔɹtəˌfaɪd
fortunate,ˈfɔɹtʃənət
forty,ˈfɔɹti
forward,ˈfɔɹwɝd
fossil,ˈfɑsəɫ
fossiliferous,ˌfɑsəˈɫɪfɝəs
foster,ˈfɑstɝ
fostered,ˈfɑstɝd
found,ˈfaʊnd
four,ˈfɔɹ
foursquare,ˈfɔɹsˈkwɛɹ
